from name;from index;to name;to index;flow
________ ________ ___ _______ ______;0;_______ ___;0;485.0
______ ________;3;____________ _______ ______ _______ _ ______-_______ ____;6;304.0
________ ________ ___ _______ ______;0;_________ ________ _._._____;33;300.0
________ ________ ___ _______ ______;0;___ _____ ______ ___________;32;300.0
________ ________ ___ _______ ______;0;____________ _______ ______ _______ _ ______-_______ ____;4;278.0
______;4;_______ _________ ________ _________ ___;37;242.0
_____ _____ _______;1;_______ _________ ________ _________ ___;38;136.0
"""_______""";2;__________ _____ _ _____ ___;9;124.0
________ ________ ___ _______ ______;0;_______ _________ ________ _________ ___;36;121.0
__________;5;__________ _____ _ _____ ___;11;110.0
________ ________ ___ _______ ______;0;____________ _______ ______ _______ _ ______-_______ ____;7;104.0
_____ _____ _______;1;__ _______;30;100.0
_____ _____ _______;1;__________ ____ ______;8;100.0
_____ _____ _______;1;____________ _______ ______ _______ _ ______-_______ ____;5;84.0
_____ _____ _______;1;__________ _____ _ _____ ___;10;80.0
_______;7;____________, _____________ _ _____ ___;43;68.0
______;4;___ ___ ___;44;62.0
_____ _____ _______;1;__________ _____ _ _____ ___;13;61.0
_____ _____ _______;1;__________ _____ _ _____ ___;12;60.0
_____ ___ _____;6;____ ______ _____;18;60.0
________ ____;8;__________ _______ __ _________;41;58.0
_____ _____ _______;1;__________ _________ _ _______ ___ __-_____;25;52.0
_____ _____ _______;1;__________ _________ _ _______ ___ __-_____;20;51.0
_____ _____ _______;1;_______ _________ ________ _________ ___;39;50.0
_____ _____ _______;1;__________ _____ _ _____ ___;14;40.0
_____ _____ _______;1;__________ _________ _ _______ ___ __-_____;29;40.0
_____ _____ _______;1;_____ ___ ____ __;2;40.0
_____ _____ _______;1;____;15;37.0
__________;5;_ _ _ __ - __. _____;35;28.0
_____ _____ _______;1;__________ _______ __ _________;42;27.0
"""_______""";2;___ ________ ______ _______ - ______;3;27.0
"""_______""";2;__________ _________ _ _______ ___ __-_____;27;23.0
"""_______""";2;____. ____._. ________;31;20.0
"""_______""";2;__________ _________ _ _______ ___ __-_____;28;20.0
"""_______""";2;__________ _________ _ _______ ___ __-_____;24;20.0
_____ _____ _______;1;________ ______- __. _____;34;18.0
"""_______""";2;__________ _________ _ _______ ___ __-_____;19;15.0
_____ ___ _____;6;______ _____,____-___.______;16;15.0
______ ________;3;_____ ___ ____ __;1;12.0
______;4;__________ _________ _ _______ ___ __-_____;26;11.0
"""_______""";2;_______ _________ ________ _________ ___;40;10.0
_______;7;__________ _________ _ _______ ___ __-_____;21;6.0
________ ____;8;__________ _________ _ _______ ___ __-_____;23;4.0
______ ________;3;__________ _________ _ _______ ___ __-_____;22;2.0
